Sess MeanPE MeanRSE
1 0.052677 955.837774
2 0.025132 521.360743
3 0.067837 1156.545437
4 0.115628 1308.969428
5 0.052745 606.294642
6 0.042438 485.604478
7 0.040829 496.020454
8 0.044577 492.602982
9 0.056606 847.085252
10 0.037282 643.963479
11 0.038061 865.137574
12 0.046133 1035.208541
13 0.046680 951.601522
14 0.017493 423.912544
15 0.030209 834.288201
16 0.031035 830.562664
17 0.042256 1232.194528
18 0.031560 1086.542936
