Sess MeanPE MeanRSE
1 0.036308 291.265056
2 0.034379 277.094283
3 0.069977 641.405478
4 0.086183 592.691510
5 0.074074 429.904298
6 0.038945 276.915853
7 0.028901 240.296093
8 0.102650 783.232749
9 0.022703 189.815311
10 0.028648 310.247086
11 0.028689 349.396794
12 0.045512 572.975277
13 0.057556 700.066948
14 0.033666 470.614194
15 0.035183 582.943504
16 0.026209 375.535760
17 0.041813 573.009002
18 0.113824 1842.927574
19 0.038098 658.236822
