Sess MeanPE MeanRSE
1 0.053278 365.346608
2 0.041123 312.642274
3 0.056237 510.585617
4 0.065778 416.699976
5 0.085025 459.909412
6 0.035998 257.786096
7 0.032461 270.632389
8 0.090643 696.269074
9 0.029569 250.161684
10 0.031627 318.581665
11 0.026442 329.312666
12 0.047633 612.912465
13 0.053964 653.820047
14 0.029166 403.227012
15 0.027548 446.279232
16 0.030152 420.141205
17 0.046114 641.768545
18 0.110035 1490.997211
19 0.026148 456.452295
