Sess MeanPE MeanRSE
1 0.045756 123.302760
2 0.029808 86.536206
3 0.066145 196.865577
4 0.089914 199.852384
5 0.114656 238.876178
6 0.052966 145.645109
7 0.038180 134.245894
8 0.061223 205.533120
9 0.021981 78.899927
10 0.024083 107.020886
11 0.035334 188.056553
12 0.025924 171.240290
13 0.050834 305.936080
14 0.027152 187.149785
15 0.024642 218.586265
16 0.061818 610.794764
17 0.042939 393.572613
18 0.093785 1023.553794
19 0.038745 622.715858
