Sess MeanPE MeanRSE
1 0.050822 1001.087394
2 0.024434 519.995359
3 0.056785 1061.235323
4 0.093789 1089.938569
5 0.051263 599.009758
6 0.043808 542.202005
7 0.051051 640.745719
8 0.044901 484.313966
9 0.061264 916.588740
10 0.042699 718.986037
11 0.040457 836.049025
12 0.046087 1014.221134
13 0.042107 893.446511
14 0.020345 484.272955
15 0.037407 1023.381085
16 0.036002 937.137993
17 0.046838 1257.015893
18 0.034209 1121.492294
