Sess MeanPE MeanRSE
1 0.032220 92.339888
2 0.034277 100.063933
3 0.063334 189.854038
4 0.094052 236.382562
5 0.084512 184.181163
6 0.053917 148.428408
7 0.038555 140.967017
8 0.048788 163.069354
9 0.035807 130.015890
10 0.029455 124.068319
11 0.034186 184.040598
12 0.031118 198.095690
13 0.047723 279.682946
14 0.029656 201.967738
15 0.025731 225.155414
16 0.052539 470.722075
17 0.066953 621.686084
18 0.081107 935.454377
19 0.042249 661.297728
