Sess MeanPE MeanRSE
1 0.018336 241.686402
2 0.030633 460.246134
3 0.031512 480.045351
4 0.084129 1015.424084
5 0.058004 599.036786
6 0.040814 520.982378
7 0.031721 460.929229
8 0.055200 819.886214
9 0.024771 391.140804
10 0.023937 430.436083
11 0.019453 408.088237
12 0.029318 625.872269
13 0.028778 642.941659
14 0.025826 614.829143
15 0.028228 837.249119
16 0.038394 1193.716654
17 0.026628 830.379907
18 0.081003 2684.879928
19 0.041814 1731.008692
