Sess MeanPE MeanRSE
1 0.018366 238.200268
2 0.027590 402.904205
3 0.047573 715.511009
4 0.074793 870.867433
5 0.055859 581.544829
6 0.031846 419.993486
7 0.032124 492.928619
8 0.034242 485.366317
9 0.026328 404.818621
10 0.029185 561.533477
11 0.018108 389.520503
12 0.027884 652.176122
13 0.055464 1369.505553
14 0.023285 571.271844
15 0.032201 920.403517
16 0.039753 1239.656850
17 0.032463 1003.821780
18 0.082599 2799.572247
19 0.029592 1125.360279
