Sess MeanPE MeanRSE
1 0.036469 274.095534
2 0.019547 153.903008
3 0.062088 553.271792
4 0.069242 473.381609
5 0.088655 502.604856
6 0.051394 362.309544
7 0.034035 291.801988
8 0.090737 671.835844
9 0.033944 310.253363
10 0.033276 335.454945
11 0.029803 339.028900
12 0.062953 802.767975
13 0.063331 750.537864
14 0.032223 461.778157
15 0.032902 535.725732
16 0.039762 534.455044
17 0.037593 531.623331
18 0.077269 1138.942348
19 0.035122 681.087689
